DATA INICIAL,DATA FINAL,PRODUTO,NÚMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PREÇO MÉDIO REVENDA,DESVIO PADRÃO REVENDA,PREÇO MÍNIMO REVENDA,PREÇO MÁXIMO REVENDA,MARGEM MÉDIA REVENDA,COEF DE VARIAÇÃO REVENDA,PREÇO MÉDIO DISTRIBUIÇÃO,DESVIO PADRÃO DISTRIBUIÇÃO,PREÇO MÍNIMO DISTRIBUIÇÃO,PREÇO MÁXIMO DISTRIBUIÇÃO,COEF DE VARIAÇÃO DISTRIBUIÇÃO
6/2/13,6/8/13,ETANOL HIDRATADO,8071,R$/l,"1,962","0,291","1,399","3,160","0,334","0,148","1,628","0,289","1,246","2,501","0,178"
6/2/13,6/8/13,ÓLEO DIESEL,6406,R$/l,"2,332","0,115","1,950","3,060","0,275","0,049","2,057","0,082","1,750","2,607","0,040"
6/2/13,6/8/13,ÓLEO DIESEL S10,2321,R$/l,"2,427","0,121","2,190","3,100","0,263","0,050","2,164","0,083","1,925","2,677","0,038"
6/2/13,6/8/13,GASOLINA COMUM,8648,R$/l,"2,852","0,166","2,349","3,699","0,400","0,058","2,452","0,113","2,150","2,971","0,046"
6/2/13,6/8/13,GLP,8025,R$/13Kg,"40,901","4,189","27,000","62,000","10,821","0,102","30,080","4,596","15,870","45,000","0,153"
6/2/13,6/8/13,GNV,516,R$/m3,"1,779","0,166","1,350","2,599","0,396","0,093","1,383","0,161","0,980","2,221","0,116"
6/9/13,6/15/13,ETANOL HIDRATADO,8071,R$/l,"1,949","0,295","1,350","3,160","0,336","0,151","1,613","0,291","1,219","2,501","0,180"
6/9/13,6/15/13,ÓLEO DIESEL,6354,R$/l,"2,335","0,115","1,950","3,020","0,277","0,049","2,058","0,082","1,750","2,607","0,040"
6/9/13,6/15/13,ÓLEO DIESEL S10,2356,R$/l,"2,431","0,120","2,149","3,100","0,268","0,049","2,163","0,080","1,986","2,677","0,037"
6/9/13,6/15/13,GASOLINA COMUM,8649,R$/l,"2,852","0,167","2,329","3,699","0,402","0,059","2,450","0,113","2,150","2,971","0,046"
6/9/13,6/15/13,GLP,8022,R$/13Kg,"40,949","4,145","27,000","62,000","10,945","0,101","30,004","4,634","15,870","45,000","0,154"
6/9/13,6/15/13,GNV,519,R$/m3,"1,785","0,163","1,379","2,599","0,400","0,091","1,385","0,158","0,952","1,828","0,114"
6/16/13,6/22/13,ETANOL HIDRATADO,8063,R$/l,"1,933","0,300","1,350","3,160","0,323","0,155","1,610","0,280","1,219","2,501","0,174"
